accountsservice	23.13.9-2ubuntu6
accountsservice-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu3
acl	2.3.2-1build1.1
adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
aha	0.5.1-3build1
alsa-base	1.0.25+dfsg-0ubuntu7
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.10-1ubuntu5.10
alsa-utils	1.2.9-1ubuntu5
amd64-microcode	3.20251202.1ubuntu0.24.04.1
anacron	2.3-39ubuntu2
apache2	2.4.58-1ubuntu8.13
apache2-bin	2.4.58-1ubuntu8.13
apache2-data	2.4.58-1ubuntu8.13
apache2-utils	2.4.58-1ubuntu8.13
apg	2.2.3.dfsg.1-5build3
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.5
apparmor-utils	4.0.1really4.0.1-0ubuntu0.24.04.5
appmenu-gtk-module-common	0.7.6-2.1ubuntu2
appmenu-gtk3-module:amd64	0.7.6-2.1ubuntu2
apport	2.28.1-0ubuntu3.8
apport-core-dump-handler	2.28.1-0ubuntu3.8
apport-gtk	2.28.1-0ubuntu3.8
apport-symptoms	0.25
appstream	1.0.2-1build6
apt	2.8.3
apt-config-icons	1.0.2-1build6
apt-config-icons-hidpi	1.0.2-1build6
apt-config-icons-large	1.0.2-1build6
apt-config-icons-large-hidpi	1.0.2-1build6
apt-utils	2.8.3
aptdaemon	1.1.1+bzr982-0ubuntu44
aptdaemon-data	1.1.1+bzr982-0ubuntu44
aspell	0.60.8.1-1build1
aspell-en	2020.12.07-0-1
at-spi2-common	2.52.0-1build1
at-spi2-core	2.52.0-1build1
avahi-daemon	0.8-13ubuntu6.2
avahi-utils	0.8-13ubuntu6.2
baloo-kf5	5.115.0-0ubuntu5
bamfdaemon	0.5.6+22.04.20220217-0ubuntu5
baobab	46.0-1build1
base-files	13ubuntu10.4
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bash-completion	1:2.11-8
bc	1.07.1-3ubuntu4
bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.5
bind9-host	1:9.18.39-0ubuntu0.24.04.5
bind9-libs:amd64	1:9.18.39-0ubuntu0.24.04.5
binutils	2.42-4ubuntu2.10
binutils-common:amd64	2.42-4ubuntu2.10
binutils-x86-64-linux-gnu	2.42-4ubuntu2.10
bluedevil	4:5.27.11-0ubuntu2
bluez	5.72-0ubuntu5.5
bluez-cups	5.72-0ubuntu5.5
bluez-obexd	5.72-0ubuntu5.5
bolt	0.9.7-1
bpfcc-tools	0.29.1+ds-1ubuntu7
bpftrace	0.20.2-1ubuntu4.3
breeze	4:5.27.11-0ubuntu3
breeze-cursor-theme	4:5.27.11-0ubuntu3
breeze-gtk-theme	5.27.11-0ubuntu2
breeze-icon-theme	4:5.115.0-0ubuntu3
brltty	6.6-4ubuntu5
bsd-mailx	8.1.2-0.20220412cvs-1build1
bsdextrautils	2.39.3-9ubuntu6.5
bsdutils	1:2.39.3-9ubuntu6.5
bubblewrap	0.9.0-1ubuntu0.1
build-essential	12.10ubuntu1
bup	0.33.3-1build2
bup-doc	0.33.3-1build2
busybox-initramfs	1:1.36.1-6ubuntu3.1
busybox-static	1:1.36.1-6ubuntu3.1
bzip2	1.0.8-5.1build0.1
ca-certificates	20260601~24.04.1
calendar	12.1.8
catdoc	1:0.95-5build1
chromium-browser	2:1snap1-0ubuntu2
clinfo	3.0.23.01.25-1build1
cloud-guest-utils	0.33-1
cloud-init	25.3-0ubuntu1~24.04.1
cmatrix	2.0-6
colord	1.4.7-1build2
colord-data	1.4.7-1build2
command-not-found	23.04.0
console-setup	1.226ubuntu1
console-setup-linux	1.226ubuntu1
coreutils	9.4-3ubuntu6.2
cpio	2.15+dfsg-1ubuntu2
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
cracklib-runtime	2.9.6-5.1build2
cron	3.0pl1-184ubuntu2
cron-daemon-common	3.0pl1-184ubuntu2
cryfs	0.11.4-1build5
cups	2.4.7-1.2ubuntu7.14
cups-browsed	2.0.0-0ubuntu10.3
cups-bsd	2.4.7-1.2ubuntu7.14
cups-client	2.4.7-1.2ubuntu7.14
cups-common	2.4.7-1.2ubuntu7.14
cups-core-drivers	2.4.7-1.2ubuntu7.14
cups-daemon	2.4.7-1.2ubuntu7.14
cups-filters	2.0.0-0ubuntu4.1
cups-filters-core-drivers	2.0.0-0ubuntu4.1
cups-ipp-utils	2.4.7-1.2ubuntu7.14
cups-pk-helper	0.2.6-1ubuntu8
cups-ppdc	2.4.7-1.2ubuntu7.14
cups-server-common	2.4.7-1.2ubuntu7.14
curl	8.5.0-2ubuntu10.10
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
dbus-x11	1.14.10-4ubuntu4.1
dc	1.07.1-3ubuntu4
dconf-cli	0.40.0-4ubuntu0.1
dconf-gsettings-backend:amd64	0.40.0-4ubuntu0.1
dconf-service	0.40.0-4ubuntu0.1
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
debianutils	5.17build1
deja-dup	45.2-1build2
desktop-base	12.0.6+nmu1ubuntu1
desktop-file-utils	0.27-2build1
dhcpcd-base	1:10.0.6-1ubuntu3.2
dictionaries-common	1.29.7
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.4
distro-info	1.7build1
distro-info-data	0.60ubuntu0.6
dmeventd	2:1.02.185-3ubuntu3.2
dmidecode	3.5-3ubuntu0.1
dmsetup	2:1.02.185-3ubuntu3.2
dmz-cursor-theme	0.4.5ubuntu1
dns-root-data	2024071801~ubuntu0.24.04.1
dnsmasq-base	2.90-2ubuntu0.3
docbook-xml	4.5-12
docbook-xsl	1.79.2+dfsg-7
dolphin	4:23.08.5-0ubuntu4
dosfstools	4.2-1.1build1
dpkg	1.22.6ubuntu6.6
dpkg-dev	1.22.6ubuntu6.6
dracut-install	060+5-1ubuntu3.3
drkonqi	5.27.11-0ubuntu3
duplicity	2.1.4-3ubuntu2
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
e2fsprogs-l10n	1.47.0-2.4~exp1ubuntu4.1
eatmydata	131-1ubuntu1
ed	1.20.1-1
eject	2.39.3-9ubuntu6.5
elementary-xfce-icon-theme	0.19-1
emacsen-common	3.0.5
enchant-2	2.3.3-2build2
eog	45.3-1ubuntu2
epiphany-browser	46.0-2build1
epiphany-browser-data	46.0-2build1
eslint	6.4.0~dfsg+~6.1.9-11build3
espeak-ng-data:amd64	1.51+dfsg-12build1
ethtool	1:6.7-1build1
evince	46.3.1-0ubuntu1.1
evince-common	46.3.1-0ubuntu1.1
evolution-data-server	3.52.3-0ubuntu1.2
evolution-data-server-common	3.52.3-0ubuntu1.2
exo-utils	4.18.0-1build4
expect	5.45.4-3
fakeroot	1.33-1
falkon	24.01.75-1build3
fdisk	2.39.3-9ubuntu6.5
ffmpegthumbs	4:23.08.5-0ubuntu4
file	1:5.45-3build1
file-roller	44.3-0ubuntu2
findutils	4.9.0-5build1
firefox	1:1snap1-0ubuntu5
firmware-sof-signed	2023.12.1-1ubuntu1.10
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-cantarell	0.303.1-1
fonts-dejavu-core	2.37-8
fonts-dejavu-mono	2.37-8
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-hack	3.003-3
fonts-liberation	1:2.1.5-3
fonts-liberation-sans-narrow	1:1.07.6-4
fonts-noto-cjk	1:20230817+repack1-3
fonts-noto-color-emoji	2.047-0ubuntu0.24.04.1
fonts-noto-core	20201225-2
fonts-noto-hinted	20201225-2
fonts-noto-mono	20201225-2
fonts-noto-ui-core	20201225-2
fonts-noto-unhinted	20201225-2
fonts-opensymbol	4:102.12+LibO24.2.7-0ubuntu0.24.04.5
fonts-quicksand	0.2016-2.1
fonts-ubuntu	0.869+git20240321-0ubuntu1
fonts-urw-base35	20200910-8
foomatic-db-compressed-ppds	20230202-1
fprintd	1.94.3-1
frameworkintegration	5.115.0-0ubuntu7
friendly-recovery	0.2.42
ftp	20230507-2build3
fuse3	3.14.0-5build1
fwupd	1.9.34-0ubuntu1~24.04.1
fwupd-signed	1.52+1.4-1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04.1
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gamemode	1.8.1-2build1
gamemode-daemon	1.8.1-2build1
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-base:amd64	13.3.0-6ubuntu2~24.04.1
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04.1
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gcr	3.41.2-1build3
gcr4	4.2.0-5
gdb	15.1-1ubuntu1~24.04.1
gdisk	1.0.10-1build1
gdm3	46.2-1ubuntu1~24.04.7
geoclue-2.0	2.7.0-3ubuntu7
geocode-glib-common	3.26.3-6build3
gettext-base	0.21-14ubuntu2
gh	2.45.0-1ubuntu0.3
ghostscript	10.02.1~dfsg1-0ubuntu7.8
gir1.2-accountsservice-1.0:amd64	23.13.9-2ubuntu6
gir1.2-adw-1:amd64	1.5.0-1ubuntu2
gir1.2-atk-1.0:amd64	2.52.0-1build1
gir1.2-atspi-2.0:amd64	2.52.0-1build1
gir1.2-dbusmenu-glib-0.4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
gir1.2-dee-1.0:amd64	1.2.7+17.10.20170616-7build5
gir1.2-freedesktop:amd64	1.80.1-1
gir1.2-gck-2:amd64	4.2.0-5
gir1.2-gcr-4:amd64	4.2.0-5
gir1.2-gdesktopenums-3.0:amd64	46.1-0ubuntu1
gir1.2-gdkpixbuf-2.0:amd64	2.42.10+dfsg-3ubuntu3.3
gir1.2-gdm-1.0	46.2-1ubuntu1~24.04.7
gir1.2-geoclue-2.0:amd64	2.7.0-3ubuntu7
gir1.2-girepository-2.0:amd64	1.80.1-1
gir1.2-glib-2.0:amd64	2.80.0-6ubuntu3.8
gir1.2-gmenu-3.0:amd64	3.36.0-1.1ubuntu3
gir1.2-gnomeautoar-0.1:amd64	0.4.4-2build4
gir1.2-gnomebg-4.0:amd64	44.0-5build2
gir1.2-gnomebluetooth-3.0:amd64	46.0-1ubuntu1
gir1.2-gnomedesktop-3.0:amd64	44.0-5build2
gir1.2-gnomedesktop-4.0:amd64	44.0-5build2
gir1.2-graphene-1.0:amd64	1.10.8-3build2
gir1.2-gstreamer-1.0:amd64	1.24.2-1ubuntu0.1
gir1.2-gtk-3.0:amd64	3.24.41-4ubuntu1.3
gir1.2-gtk-4.0:amd64	4.14.5+ds-0ubuntu0.9
gir1.2-gudev-1.0:amd64	1:238-5ubuntu1
gir1.2-gweather-4.0:amd64	4.4.2-1build1
gir1.2-handy-1:amd64	1.8.3-1build2
gir1.2-harfbuzz-0.0:amd64	8.3.0-2build2
gir1.2-ibus-1.0:amd64	1.5.29-2
gir1.2-javascriptcoregtk-4.1:amd64	2.52.3-0ubuntu0.24.04.1
gir1.2-javascriptcoregtk-6.0:amd64	2.52.3-0ubuntu0.24.04.1
gir1.2-mutter-14:amd64	46.2-1ubuntu0.24.04.14
gir1.2-nm-1.0:amd64	1.46.0-1ubuntu2.6
gir1.2-nma4-1.0:amd64	1.10.6-3build2
gir1.2-notify-0.7:amd64	0.8.3-1build2
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.5
gir1.2-pango-1.0:amd64	1.52.1+ds-1build1
gir1.2-peas-1.0:amd64	1.36.0-3build4
gir1.2-polkit-1.0	124-2ubuntu1.24.04.3
gir1.2-rsvg-2.0:amd64	2.58.0+dfsg-1build1
gir1.2-secret-1:amd64	0.21.4-1build3
gir1.2-snapd-2:amd64	1.64-0ubuntu5
gir1.2-soup-3.0:amd64	3.4.4-5ubuntu0.7
gir1.2-totem-1.0:amd64	43.0-2ubuntu4
gir1.2-totemplparser-1.0:amd64	3.26.6-1build5
gir1.2-udisks-2.0:amd64	2.10.1-6ubuntu1.3
gir1.2-unity-7.0:amd64	7.1.4+19.04.20190319-6build4
gir1.2-upowerglib-1.0:amd64	1.90.3-1
gir1.2-vte-2.91:amd64	0.76.0-1ubuntu0.1
gir1.2-webkit-6.0:amd64	2.52.3-0ubuntu0.24.04.1
gir1.2-webkit2-4.1:amd64	2.52.3-0ubuntu0.24.04.1
gir1.2-wnck-3.0:amd64	43.0-3build4
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gjs	1.80.2-1build2
gkbd-capplet	3.28.1-1build3
glib-networking:amd64	2.80.0-1build1
glib-networking-common	2.80.0-1build1
glib-networking-services	2.80.0-1build1
gnome-accessibility-themes	3.28-2ubuntu5
gnome-bluetooth	42~3.34.5-13build3
gnome-bluetooth-3-common	46.0-1ubuntu1
gnome-bluetooth-sendto	46.0-1ubuntu1
gnome-calculator	1:46.3-0ubuntu0.1
gnome-clocks	46.0-1build1
gnome-control-center	1:46.7-0ubuntu0.24.04.3
gnome-control-center-data	1:46.7-0ubuntu0.24.04.3
gnome-control-center-faces	1:46.7-0ubuntu0.24.04.3
gnome-desktop3-data	44.0-5build2
gnome-disk-utility	46.0-1ubuntu3
gnome-font-viewer	46.0-1build1
gnome-initial-setup	46.3-1ubuntu3~24.04.2
gnome-keyring	46.1-2ubuntu0.2
gnome-keyring-pkcs11:amd64	46.1-2ubuntu0.2
gnome-logs	45.0-1build1
gnome-menus	3.36.0-1.1ubuntu3
gnome-online-accounts	3.50.4-0ubuntu2
gnome-power-manager	43.0-2build2
gnome-remote-desktop	46.3-0ubuntu1.2
gnome-screensaver	3.6.1-13ubuntu4
gnome-session	46.0-1ubuntu4
gnome-session-bin	46.0-1ubuntu4
gnome-session-canberra	0.30-10ubuntu10
gnome-session-common	46.0-1ubuntu4
gnome-settings-daemon	46.0-1ubuntu1.24.04.1
gnome-settings-daemon-common	46.0-1ubuntu1.24.04.1
gnome-shell	46.0-0ubuntu6~24.04.13
gnome-shell-common	46.0-0ubuntu6~24.04.13
gnome-shell-extension-appindicator	58-1ubuntu24.04.1
gnome-shell-extension-desktop-icons-ng	46+really47.0.9-1ubuntu5
gnome-shell-extension-ubuntu-dock	90ubuntu3
gnome-shell-extension-ubuntu-tiling-assistant	46-1ubuntu1.1
gnome-snapshot	46.2-1ubuntu2
gnome-startup-applications	46.0-1ubuntu4
gnome-system-monitor	46.0-1build1
gnome-terminal	3.52.0-1ubuntu2
gnome-terminal-data	3.52.0-1ubuntu2
gnome-text-editor	46.3-0ubuntu2
gnome-themes-extra:amd64	3.28-2ubuntu5
gnome-themes-extra-data	3.28-2ubuntu5
gnome-user-docs	46.0-1ubuntu1
gnupg	2.4.4-2ubuntu17.4
gnupg-l10n	2.4.4-2ubuntu17.4
gnupg-utils	2.4.4-2ubuntu17.4
gpg	2.4.4-2ubuntu17.4
gpg-agent	2.4.4-2ubuntu17.4
gpg-wks-client	2.4.4-2ubuntu17.4
gpgconf	2.4.4-2ubuntu17.4
gpgsm	2.4.4-2ubuntu17.4
gpgv	2.4.4-2ubuntu17.4
grep	3.11-4build1
greybird-gtk-theme	3.23.3-1
grilo-plugins-0.3-base:amd64	0.3.16-1.1ubuntu6.1~24.04.1
groff-base	1.23.0-3build2
grub-common	2.12-1ubuntu7.3
grub-gfxpayload-lists	0.7build2
grub-pc	2.12-1ubuntu7.3
grub-pc-bin	2.12-1ubuntu7.3
grub2-common	2.12-1ubuntu7.3
gsasl-common	2.2.1-1willsync1ubuntu0.1
gsettings-desktop-schemas	46.1-0ubuntu1
gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu3
gstreamer1.0-alsa:amd64	1.24.2-1ubuntu0.4
gstreamer1.0-gl:amd64	1.24.2-1ubuntu0.4
gstreamer1.0-gtk3:amd64	1.24.2-1ubuntu1.4
gstreamer1.0-libav:amd64	1.24.1-1build1
gstreamer1.0-libcamera:amd64	0.2.0-3fakesync1build6
gstreamer1.0-packagekit	1.2.8-2ubuntu1.5
gstreamer1.0-pipewire:amd64	1.0.5-1ubuntu3.2
gstreamer1.0-plugins-base:amd64	1.24.2-1ubuntu0.4
gstreamer1.0-plugins-base-apps	1.24.2-1ubuntu0.4
gstreamer1.0-plugins-good:amd64	1.24.2-1ubuntu1.4
gstreamer1.0-plugins-ugly:amd64	1.24.1-1build1
gstreamer1.0-tools	1.24.2-1ubuntu0.1
gstreamer1.0-vaapi:amd64	1.24.2-1
gstreamer1.0-x:amd64	1.24.2-1ubuntu0.4
gtk-update-icon-cache	3.24.41-4ubuntu1.3
gtk2-engines-murrine:amd64	0.98.2-4
gtk2-engines-pixbuf:amd64	2.24.33-4ubuntu1.1
gunicorn	20.1.0-6
gvfs:amd64	1.54.4-0ubuntu1~24.04.2
gvfs-backends	1.54.4-0ubuntu1~24.04.2
gvfs-common	1.54.4-0ubuntu1~24.04.2
gvfs-daemons	1.54.4-0ubuntu1~24.04.2
gvfs-fuse	1.54.4-0ubuntu1~24.04.2
gvfs-libs:amd64	1.54.4-0ubuntu1~24.04.2
